code,publication_date
74059,2019-01-29 00:00:00.000000000
74058,2019-01-29 00:00:00.000000000
74080,2019-01-29 00:00:00.000000000
74091,2019-01-29 00:00:00.000000000
74129,2019-01-29 00:00:00.000000000
74193,2019-01-29 00:00:00.000000000
74223,2019-01-29 00:00:00.000000000
74224,2019-01-29 00:00:00.000000000
74284,2019-01-29 00:00:00.000000000
74295,2019-01-29 00:00:00.000000000
74146,2019-01-29 00:00:00.000000000
74147,2019-01-29 00:00:00.000000000
74034,2019-01-29 00:00:00.000000000
74045,2019-01-29 00:00:00.000000000
74136,2019-01-29 00:00:00.000000000
74221,2019-01-29 00:00:00.000000000
74259,2019-01-29 00:00:00.000000000
74079,2019-01-29 00:00:00.000000000
74085,2019-01-29 00:00:00.000000000
74134,2019-01-29 00:00:00.000000000
74143,2019-01-29 00:00:00.000000000
74302,2019-01-29 00:00:00.000000000
74148,2019-01-29 00:00:00.000000000
74150,2019-01-29 00:00:00.000000000
74151,2019-01-29 00:00:00.000000000
74152,2019-01-29 00:00:00.000000000
74153,2019-01-29 00:00:00.000000000
74154,2019-01-29 00:00:00.000000000
74155,2019-01-29 00:00:00.000000000
74156,2019-01-29 00:00:00.000000000
74157,2019-01-29 00:00:00.000000000
74158,2019-01-29 00:00:00.000000000
74159,2019-01-29 00:00:00.000000000
74160,2019-01-29 00:00:00.000000000
74162,2019-01-29 00:00:00.000000000
74161,2019-01-29 00:00:00.000000000
74163,2019-01-29 00:00:00.000000000
74164,2019-01-29 00:00:00.000000000
74165,2019-01-29 00:00:00.000000000
74166,2019-01-29 00:00:00.000000000
74168,2019-01-29 00:00:00.000000000
74169,2019-01-29 00:00:00.000000000
74170,2019-01-29 00:00:00.000000000
74171,2019-01-29 00:00:00.000000000
74172,2019-01-29 00:00:00.000000000
74173,2019-01-29 00:00:00.000000000
74175,2019-01-29 00:00:00.000000000
74176,2019-01-29 00:00:00.000000000
74177,2019-01-29 00:00:00.000000000
74178,2019-01-29 00:00:00.000000000
74180,2019-01-29 00:00:00.000000000
74183,2019-01-29 00:00:00.000000000
74184,2019-01-29 00:00:00.000000000
74185,2019-01-29 00:00:00.000000000
74189,2019-01-29 00:00:00.000000000
74186,2019-01-29 00:00:00.000000000
74188,2019-01-29 00:00:00.000000000
74190,2019-01-29 00:00:00.000000000
74191,2019-01-29 00:00:00.000000000
74192,2019-01-29 00:00:00.000000000
74195,2019-01-29 00:00:00.000000000
74174,2019-01-29 00:00:00.000000000
74179,2019-01-29 00:00:00.000000000
74194,2019-01-29 00:00:00.000000000
74196,2019-01-29 00:00:00.000000000
74197,2019-01-29 00:00:00.000000000
